Cidade,Área,Impostos,Seguro,Total
Gotham,86,0,10,3342
Metrópolis,60,74,12,1472
Metrópolis,65,100,14,1764
Gotham,46,4,21,2395
Gotham,70,150,56,5455
Gotham,110,0,35,3389
Gotham,20,40,8,948
Gotham,200,876,61,8889
Gotham,150,515,51,6136
Gotham,120,0,34,2234
Metrópolis,40,0,13,2313
Gotham,65,0,6,2489
Gotham,35,0,24,2384
Metrópolis,88,24,28,2930
Gotham,220,650,51,6501
Gotham,40,70,13,1353
Metrópolis,70,17,20,2137
Gotham,208,552,89,9995
Gotham,238,575,64,8154
Gotham,85,217,30,3647
Metrópolis,71,114,15,1929
Gotham,55,0,17,1717
Metrópolis,219,472,49,6275
Gotham,200,92,35,2427
Gotham,50,57,4,1327
Gotham,90,170,43,3013
Gotham,45,0,70,8590
Gotham,120,0,42,4124
Gotham,170,293,58,7066
Gotham,400,2084,57,5901
Gotham,42,52,35,3237
Gotham,31,125,26,4141
Gotham,350,17,68,4585
Gotham,62,0,30,3000
Gotham,83,735,41,5531
Gotham,35,0,17,1572
Gotham,147,414,46,5373
Gotham,30,59,12,821
Gotham,97,42,28,3670
Gotham,30,0,14,934
Gotham,104,289,42,4931
Gotham,20,67,40,3399
Gotham,298,0,46,3046
Gotham,127,247,34,2531
Metrópolis,60,50,11,1313
Gotham,54,190,36,3980
Gotham,19,0,16,1216
Gotham,55,84,28,2612
Gotham,120,50,20,1370
Gotham,88,305,50,4741
Gotham,136,332,87,8887
Gotham,130,0,31,2031
Metrópolis,48,42,7,1049
Gotham,53,67,26,2513
Metrópolis,52,50,30,3380
Gotham,20,130,23,2555
Gotham,75,250,32,3482
Gotham,90,225,34,2729
Gotham,95,180,37,2617
Gotham,70,0,17,1117
Gotham,25,0,24,2004
Gotham,230,292,61,7153
Gotham,89,0,20,6373
Gotham,42,82,46,4403
Gotham,192,0,108,10210
Gotham,99,125,55,5780
Gotham,50,0,8,1458
Metrópolis,48,46,16,2000
Gotham,99,230,55,3935
Gotham,33,0,8,1787
Gotham,93,125,45,4320
Gotham,49,42,45,4067
Gotham,50,20,32,3382
Gotham,100,0,37,2437
Gotham,110,0,23,2528
Gotham,80,0,27,2312
Gotham,196,73,70,8853
Gotham,160,10,45,4555
Gotham,189,584,83,9467
Gotham,93,0,41,4001
Gotham,500,2084,90,8104
Metrópolis,57,67,11,1271
Metrópolis,76,63,14,1661
Gotham,400,1250,49,8899
Gotham,68,115,19,2154
Gotham,80,9,49,4689
Gotham,250,292,83,8875
Gotham,120,542,115,11160
Gotham,68,0,24,1874
Gotham,65,47,18,1780
Gotham,40,0,14,1211
Gotham,75,0,17,2610
Gotham,150,0,40,2680
Gotham,34,74,36,3280
Metrópolis,135,25,26,1751
Gotham,36,77,25,2502
Gotham,60,0,9,2737
Gotham,156,917,63,7480
Gotham,60,217,39,4626
Metrópolis,60,64,37,3334
Gotham,150,0,59,3959
Gotham,120,875,59,8020
Gotham,64,110,16,1796
Gotham,127,350,50,5955
Gotham,87,257,47,4667
Gotham,60,150,20,1861
Gotham,270,417,68,4985
Gotham,142,475,115,11190
Gotham,35,0,21,1985
Gotham,55,50,25,1675
Gotham,129,387,113,10580
Gotham,30,18,22,3079
Gotham,89,238,30,4110
Gotham,98,180,32,3673
Gotham,277,1947,49,9996
Gotham,113,50,39,4089
Gotham,25,35,16,1251
Metrópolis,53,15,11,1221
Gotham,235,1000,33,5583
Gotham,100,150,18,2868
Metrópolis,140,220,45,4795
Gotham,51,27,27,3216
Metrópolis,80,28,17,1145
Gotham,220,892,65,9657
Gotham,97,125,22,3447
Gotham,25,25,19,1264
Gotham,100,71,35,3756
Gotham,69,0,22,3547
Metrópolis,143,70,26,1796
Gotham,48,110,42,4112
Metrópolis,380,455,61,4516
Metrópolis,165,129,46,3175
Gotham,137,303,70,7073
Gotham,33,0,25,2225
Gotham,120,334,28,4582
Gotham,150,275,37,3162
Gotham,218,1454,63,8935
Gotham,160,542,89,9231
Gotham,85,0,28,2838
Gotham,230,109,64,6873
Gotham,40,63,15,1048
Gotham,160,834,49,6306
Metrópolis,92,167,27,2994
Gotham,23,34,13,1027
Gotham,53,0,27,2849
Gotham,140,167,41,2908
Gotham,250,0,49,3259
Gotham,30,5,23,1528
Gotham,280,292,102,11390
Gotham,103,94,44,4592
Gotham,60,400,62,4562
Gotham,62,92,21,2343
Gotham,20,130,23,2555
Gotham,278,601,99,11140
Gotham,42,0,16,1716
Gotham,52,145,39,3944
Gotham,100,66,7,2888
Gotham,75,0,10,3375
Metrópolis,30,0,22,1422
Gotham,70,138,13,1431
Gotham,55,75,31,2106
Gotham,23,0,28,2577
Gotham,110,163,23,1686
Metrópolis,52,70,23,2213
Gotham,20,54,22,2196
Gotham,40,17,12,809
Gotham,35,46,16,1832
Gotham,92,0,28,2646
Gotham,50,382,26,4408
Gotham,141,167,101,9303
Gotham,60,184,33,5252
Gotham,48,90,26,1156
Gotham,101,359,85,8145
Gotham,35,84,37,3733
Gotham,312,1063,95,7458
Gotham,40,162,49,4821
Gotham,45,350,54,6504
Gotham,145,250,74,7212
Gotham,350,1092,83,6675
Gotham,170,200,29,3789
Gotham,270,995,70,9935
Gotham,70,90,58,3948
Gotham,50,0,15,2315
Gotham,33,0,12,3825
Metrópolis,70,17,17,1984
Gotham,240,500,89,6489
Gotham,53,200,56,5344
Gotham,50,5,14,1579
Gotham,55,135,50,4869
Gotham,48,114,44,4191
Gotham,30,0,42,3692
Metrópolis,138,405,64,6747
Gotham,100,330,39,4254
Gotham,320,484,91,6575
Gotham,190,71,73,7044
Gotham,55,12,28,2930
Gotham,62,184,64,6248
Gotham,130,317,58,7275
Gotham,61,96,27,3120
Gotham,150,622,54,10380
Metrópolis,87,82,14,1611
Gotham,156,667,115,11430
Gotham,33,0,21,1976
Gotham,46,83,8,2393
Gotham,45,0,20,2589
Gotham,50,0,14,1684
Gotham,90,0,62,4162
Gotham,98,468,108,10980
Gotham,65,233,51,5395
Gotham,100,757,89,10190
Gotham,60,0,26,3826
Gotham,400,125,71,4896
Gotham,45,0,70,8590
Gotham,85,75,38,2713
Gotham,300,950,56,4707
Gotham,70,45,11,1626
Gotham,38,0,44,4894
Gotham,186,584,77,8561
Gotham,20,130,23,2555
Gotham,80,211,39,4028
Gotham,22,40,27,2552
Gotham,70,38,47,4872
Gotham,162,492,89,9731
Gotham,20,130,23,2555
Gotham,250,71,67,4538
Gotham,150,136,28,2264
Gotham,204,417,102,10420
Gotham,93,12,32,3792
Gotham,90,225,21,2484
Gotham,70,0,39,3839
Gotham,65,125,24,2520
Gotham,45,82,20,1872
Gotham,240,292,61,4353
Gotham,56,251,10,4526
Gotham,80,209,23,2872
Gotham,88,169,33,3552
Gotham,60,267,59,7246
Gotham,240,470,154,10820
Gotham,60,23,26,1749
Metrópolis,240,250,46,3296
Gotham,37,25,20,1545
Gotham,84,215,39,4054
Gotham,70,69,18,2142
Metrópolis,151,251,32,4183
Gotham,120,90,23,1613
Gotham,250,250,53,3803
Gotham,187,1270,64,10690
Gotham,87,167,85,7896
Gotham,210,1184,38,6817
Gotham,160,209,65,4574
Gotham,110,1000,148,10960
Gotham,142,559,38,5238
Gotham,700,1800,91,7891
Gotham,45,162,26,2658
Gotham,130,167,55,5666
Metrópolis,147,62,53,3615
Gotham,150,100,29,2594
Gotham,130,42,38,2580
Gotham,89,100,23,2683
Metrópolis,103,84,14,1833
Metrópolis,100,76,17,2083
Gotham,310,764,77,9141
Gotham,100,100,37,4437
Gotham,70,67,37,2504
Gotham,148,200,31,4687
Gotham,80,87,32,3322
Gotham,52,0,21,2470
Gotham,39,38,23,1711
Metrópolis,94,90,14,1914
Gotham,173,0,73,4873
Gotham,651,1595,128,10220
Gotham,19,41,16,1257
Metrópolis,45,0,12,1182
Gotham,75,46,37,3833
Gotham,60,109,17,2004
Metrópolis,277,28,50,3348
Metrópolis,71,114,15,1949
Gotham,114,150,40,2840
Gotham,138,100,39,4099
Gotham,90,253,46,4707
Gotham,235,417,121,8538
Gotham,136,250,42,4792
Gotham,20,130,23,2555
Gotham,36,0,16,1526
Gotham,60,0,24,2254
Gotham,325,420,91,6511
Metrópolis,43,7,14,1356
Metrópolis,170,98,35,2433
Metrópolis,55,0,3,1349
Gotham,200,365,74,7926
Gotham,150,59,38,2597
Gotham,140,167,25,1842
Gotham,160,84,58,6642
Gotham,300,292,43,3136
Gotham,99,180,27,3277
Gotham,180,180,127,11310
Gotham,230,526,121,8647
Gotham,440,584,148,10530
Gotham,55,142,15,2087
Metrópolis,70,184,20,3404
Gotham,157,347,58,6230
Gotham,176,542,64,7556
Metrópolis,78,50,11,1411
Gotham,35,35,14,1540
Metrópolis,52,29,16,1895
Gotham,240,792,54,7846
Gotham,84,261,16,5136
Gotham,125,38,43,2881
Metrópolis,78,78,9,2564
Metrópolis,58,64,45,3994
Gotham,113,0,7,2722
Gotham,52,188,57,6365
Gotham,28,67,19,1912
Gotham,54,3,25,2318
Gotham,118,352,115,11270
Gotham,92,0,13,4147
Gotham,62,217,13,4302
Gotham,250,975,65,10140
Metrópolis,750,667,157,11220
Gotham,177,459,61,4520
Gotham,138,238,97,9935
Gotham,140,292,64,6447
Gotham,450,1150,136,10290
Gotham,167,555,22,4581
Gotham,30,180,37,4717
Gotham,120,0,34,2284
Metrópolis,60,60,11,1356
Gotham,210,276,50,3620
Gotham,49,0,79,8009
Gotham,75,110,38,4028
Gotham,109,0,68,6818
Gotham,57,0,18,2088
Gotham,100,42,53,3595
Gotham,70,590,42,6769
Gotham,250,1360,98,7958
Gotham,103,459,39,4648
Gotham,90,384,64,8608
Metrópolis,273,366,36,5272
Gotham,37,57,21,2311
Gotham,61,0,24,2333
Gotham,64,152,29,2854
Gotham,220,84,87,9221
Gotham,58,0,22,3105
Gotham,93,84,28,3062
Gotham,36,85,28,2586
Gotham,78,390,92,8982
Gotham,38,15,16,1421
Metrópolis,101,119,28,2979
Gotham,400,350,109,7659
Gotham,65,166,19,2896
Gotham,248,1521,68,11210
Gotham,47,0,20,2020
Gotham,56,467,59,7626
Gotham,190,459,80,8989
Gotham,69,84,18,2102
Gotham,120,0,17,5810
Gotham,70,157,16,1673
Gotham,89,150,49,4964
Gotham,33,79,20,1929
Metrópolis,110,100,27,3127
Gotham,40,90,51,4601
Gotham,33,0,17,1572
Gotham,200,1334,58,8292
Gotham,82,291,36,4078
Gotham,240,292,39,6131
Metrópolis,58,66,12,1518
Gotham,80,250,58,5808
Gotham,300,250,76,5326
Gotham,120,400,93,9293
Metrópolis,104,210,54,5564
Gotham,180,567,98,7165
Gotham,48,90,55,5370
Gotham,350,600,110,8011
Gotham,98,375,53,5378
Metrópolis,136,280,49,5429
Gotham,190,0,68,4569
Gotham,60,70,24,2704
Gotham,40,0,17,1117
Gotham,100,100,25,1725
Gotham,90,480,40,3120
Gotham,100,60,26,2408
Gotham,135,350,89,8974
Gotham,100,0,31,2151
Gotham,65,159,47,3861
Gotham,235,575,66,8376
Metrópolis,50,35,20,1805
Gotham,77,203,39,3789
Gotham,120,297,38,4635
Metrópolis,70,0,26,3226
Gotham,40,0,5,1486
Metrópolis,295,334,94,6628
Gotham,320,1000,151,11150
Gotham,100,234,37,4266
Gotham,153,700,70,8770
Gotham,85,363,11,5105
Gotham,50,0,11,971
Gotham,90,50,39,4089
Metrópolis,32,4,8,912
Gotham,150,203,43,3046
Gotham,86,188,44,4382
Gotham,79,26,37,3623
Gotham,400,912,151,11060
Gotham,65,217,26,3043
Metrópolis,73,124,27,2693
Gotham,45,0,70,8590
Gotham,60,0,23,2293
Gotham,100,96,47,4729
Gotham,100,100,62,5162
Metrópolis,90,20,19,2245
Metrópolis,166,284,28,4322
Gotham,180,518,70,8154
Gotham,300,0,49,3249
Gotham,150,250,31,2331
Gotham,60,109,50,4705
Metrópolis,42,134,16,2372
Metrópolis,46,0,9,1109
Gotham,40,181,55,5159
Metrópolis,55,36,9,1385
Gotham,83,174,61,5817
Gotham,220,967,51,8218
Gotham,190,1209,76,11040
Gotham,65,61,29,2718
Gotham,186,405,69,7259
Gotham,80,1,19,1220
Gotham,175,0,115,9115
Gotham,95,0,26,1716
Gotham,86,0,40,3650
Gotham,300,767,151,10920
Gotham,108,609,83,8326
Metrópolis,45,38,8,1167
Gotham,37,30,20,1884
Gotham,30,350,42,4169
Gotham,73,196,64,6332
Gotham,113,359,38,5122
Metrópolis,110,1056,49,4865
Gotham,29,0,19,1449
Gotham,140,56,41,2797
Gotham,28,42,36,3493
Gotham,200,737,106,7843
Gotham,20,0,24,2233
Gotham,88,108,75,7403
Gotham,40,59,20,1979
Gotham,150,484,64,7248
Gotham,187,193,53,4246
Gotham,51,84,35,3332
Gotham,62,227,64,6025
Gotham,150,55,146,9871
Gotham,48,166,85,8086
Metrópolis,60,0,13,843
Gotham,53,0,33,3765
Gotham,74,424,84,8208
Gotham,53,68,22,1940
Metrópolis,300,362,61,4423
Gotham,53,0,13,2113
Metrópolis,296,375,79,5654
Gotham,145,500,61,7005
Gotham,230,417,52,6449
Gotham,34,25,21,1856
Gotham,27,0,47,3747
Gotham,17,50,28,2578
Gotham,64,342,51,6923
Gotham,68,0,16,1955
Gotham,68,584,77,10900
Gotham,134,375,27,4207
Gotham,43,0,22,1972
Gotham,48,245,89,9634
Gotham,220,425,121,8546
Gotham,260,1250,14,5704
Gotham,250,1334,64,9898
Gotham,126,0,22,2692
Gotham,62,92,18,2155
Gotham,68,0,17,1617
Gotham,195,1067,35,5610
Gotham,57,140,58,5178
Gotham,556,2059,106,9165
Gotham,70,162,31,3169
Gotham,105,552,25,3727
Metrópolis,200,209,44,4803
Gotham,290,0,89,10670
Gotham,90,0,15,4792
Gotham,130,411,30,4309
Gotham,40,195,17,1312
Gotham,110,625,59,4584
Gotham,28,0,23,2042
Gotham,100,417,42,4759
Gotham,20,0,27,2087
Gotham,16,30,11,891
Gotham,90,0,26,1746
Gotham,90,280,26,3474
Gotham,39,43,19,1632
Metrópolis,578,787,143,10430
Gotham,180,163,46,3209
Gotham,209,803,51,7054
Gotham,262,1350,29,6129
Gotham,100,30,30,2015
Gotham,200,791,44,3735
Gotham,70,0,39,3589
Gotham,45,60,16,1106
Gotham,20,59,31,2830
Gotham,70,25,48,4543
Metrópolis,130,321,28,2149
Metrópolis,104,122,22,2424
Gotham,65,0,32,3532
Gotham,235,579,83,8529
Gotham,150,0,12,2187
Metrópolis,60,0,13,1327
Gotham,82,267,102,10020
Gotham,54,117,28,3010
Gotham,67,60,45,4185
Gotham,330,2000,91,8091
Gotham,117,711,41,5450
Metrópolis,200,220,40,2910
Gotham,305,667,64,9231
Gotham,53,166,11,3429
Metrópolis,170,109,27,1886
Gotham,50,0,23,2323
Gotham,164,198,47,5174
Gotham,90,219,38,2757
Metrópolis,115,30,25,2990
Gotham,206,586,94,10990
Gotham,50,0,25,2305
Metrópolis,49,38,13,1314
Gotham,30,21,16,1577
Gotham,130,0,85,5685
Gotham,360,1329,129,9998
Gotham,54,73,8,2683
Metrópolis,252,259,50,3609
Metrópolis,130,10,22,1432
Metrópolis,400,458,131,10490
Gotham,27,41,12,998
Gotham,45,0,8,2946
Gotham,260,584,56,7610
Gotham,74,40,41,3731
Gotham,59,25,26,2845
Gotham,51,23,32,3010
Gotham,346,2704,52,9036
Gotham,30,0,19,1219
Gotham,58,3,18,2128
Metrópolis,65,49,24,2382
Gotham,110,517,83,8376
Gotham,600,1875,136,11010
Gotham,35,0,25,1976
Gotham,65,30,24,2444
Gotham,83,125,21,2296
Gotham,100,250,26,3076
Gotham,90,50,39,4089
Gotham,65,1,45,5946
Gotham,135,775,30,4755
Gotham,90,0,28,1828
Gotham,58,5,20,2175
Gotham,34,15,28,2543
Gotham,45,334,58,7092
Gotham,120,160,32,3562
Metrópolis,45,140,11,1418
Gotham,26,10,12,922
Gotham,137,5,22,3462
Gotham,200,1,31,2032
Gotham,20,130,23,2555
Gotham,163,417,33,4532
Gotham,32,0,7,2692
Gotham,45,170,22,2587
Gotham,147,0,54,5804
Gotham,260,334,46,3380
Gotham,36,80,44,4124
Gotham,20,130,23,2555
Gotham,112,0,107,8496
Gotham,35,40,17,1807
Gotham,280,310,39,2939
Gotham,137,410,70,5080
Gotham,120,0,39,4124
Gotham,62,25,21,2046
Gotham,70,0,30,2010
Gotham,78,117,31,3198
Gotham,39,125,54,4979
Metrópolis,90,78,18,2186
Gotham,121,170,33,3588
Gotham,97,275,32,3865
Gotham,130,448,53,4001
Metrópolis,46,0,16,1516
Gotham,93,325,70,7061
Gotham,70,138,13,1431
Gotham,100,84,29,2013
Gotham,64,101,16,3483
Gotham,84,0,20,2267
Gotham,146,0,115,10520
Gotham,110,25,70,6595
Gotham,80,109,51,5160
Gotham,180,667,70,8887
Gotham,20,67,40,3399
Gotham,70,0,32,3532
Gotham,54,250,53,5917
Metrópolis,240,0,89,9889
Gotham,141,450,88,9638
Gotham,70,0,21,1621
Gotham,58,200,74,6994
Gotham,160,490,46,5835
Metrópolis,348,350,91,6441
Gotham,68,0,16,2280
Metrópolis,58,0,45,3892
Gotham,138,606,28,4896
Gotham,55,148,28,3072
Metrópolis,170,98,35,2433
Metrópolis,188,178,61,4239
Gotham,240,625,124,8950
Gotham,23,41,27,2560
Gotham,48,0,13,4620
Metrópolis,380,459,58,4317
Gotham,58,256,51,5235
Gotham,200,200,37,2687
Gotham,70,211,42,5618
Gotham,126,0,38,2538
Gotham,218,334,99,10030
Metrópolis,190,192,15,4307
Metrópolis,64,68,20,2558
Gotham,42,0,23,2168
Metrópolis,284,405,91,7996
Gotham,108,195,28,3403
Gotham,95,0,44,2944
Gotham,217,1000,77,9577
Metrópolis,150,167,16,1243
Gotham,75,0,27,2387
Gotham,40,17,12,809
Gotham,110,137,39,4376
Gotham,30,0,44,3794
Gotham,58,0,23,2220
Gotham,150,159,42,3076
Gotham,131,798,77,8975
Gotham,18,0,22,1742
Gotham,80,0,20,1920
Gotham,144,589,92,8737
Gotham,85,67,21,2215
Gotham,76,272,44,4626
Gotham,370,492,128,9120
Metrópolis,100,61,12,1523
Gotham,260,634,136,9770
Gotham,273,778,64,7722
Gotham,107,386,74,7300
Gotham,34,15,28,2543
Gotham,80,0,74,4966
Gotham,60,273,41,3014
Gotham,45,104,24,2523
Gotham,170,0,39,2589
Gotham,200,1084,79,9713
Metrópolis,70,78,29,2707
Gotham,77,213,25,3186
Gotham,50,0,17,1117
Gotham,104,0,28,2984
Gotham,68,225,85,7720
Gotham,45,167,30,4697
Gotham,189,1334,58,9326
Gotham,43,42,6,1739
Gotham,35,30,13,1053
Gotham,200,292,121,8413
Gotham,250,7,91,6098
Gotham,400,163,109,7497
Gotham,45,0,70,8590
Gotham,22,55,28,2754
Gotham,180,413,102,10620
Gotham,72,0,8,3040
Gotham,830,159,31,2191
Gotham,52,64,60,5201
Gotham,90,0,27,2393
Metrópolis,165,294,23,3217
Gotham,71,35,16,2031
Gotham,65,0,26,2743
Metrópolis,260,584,115,9999
Gotham,140,0,58,5858
Gotham,204,764,89,11400
Gotham,96,15,24,2486
Gotham,136,350,45,5441
Gotham,156,59,97,6556
Metrópolis,98,152,36,3718
Gotham,150,234,70,5004
Gotham,31,0,14,1054
Gotham,110,84,39,4123
Gotham,347,500,106,7606
Gotham,98,0,31,3951
Gotham,53,89,39,3707
Metrópolis,58,67,19,2166
Gotham,50,212,68,6361
Gotham,230,291,53,3835
Gotham,93,257,36,4093
Gotham,93,33,45,4618
Gotham,20,130,23,2555
Gotham,150,150,38,2688
Gotham,182,875,63,9438
Gotham,48,0,18,2440
Gotham,98,0,58,5458
Gotham,197,459,58,7682
Gotham,114,321,36,4262
Gotham,70,53,17,1670
Gotham,240,290,98,6888
Gotham,55,0,8,1108
Gotham,90,11,40,2651
Gotham,106,145,127,11300
Gotham,250,42,89,9531
Gotham,168,317,53,4470
Gotham,150,0,61,6033
Gotham,350,1292,151,11440
Gotham,23,99,36,3535
Gotham,160,59,30,3561
Gotham,12,50,14,1114
Gotham,107,417,58,6575
Gotham,25,0,23,1773
Gotham,37,0,18,1418
Gotham,157,492,100,7200
Gotham,71,50,47,4297
Gotham,130,334,32,4046
Gotham,300,550,66,4956
Gotham,525,2167,126,10620
Gotham,94,0,31,3593
Gotham,240,381,71,5127
Gotham,400,160,57,4007
Metrópolis,297,433,36,6069
Gotham,145,375,74,7474
Metrópolis,180,250,49,3529
Metrópolis,269,963,65,9128
Gotham,330,720,115,8485
Gotham,66,349,21,4047
Gotham,290,1435,52,9387
Gotham,45,0,20,2220
Gotham,98,34,58,5482
Gotham,160,0,31,3631
Gotham,80,84,37,3958
Gotham,118,402,114,10990
Gotham,138,445,53,3998
Gotham,102,248,53,3801
Metrópolis,57,72,24,2339
Gotham,36,125,14,4217
Gotham,190,525,121,8646
Metrópolis,60,84,17,1600
Gotham,309,1167,151,11320
Metrópolis,40,17,7,944
Gotham,80,25,25,1650
Gotham,60,100,23,1623
Gotham,180,301,48,3499
Gotham,213,1157,83,10340
Gotham,190,56,87,9983
Metrópolis,205,57,39,2666
Gotham,126,309,51,6340
Gotham,260,1167,70,9217
Metrópolis,66,62,64,6026
Gotham,380,1600,74,10970
Gotham,146,292,26,3518
Metrópolis,53,34,9,1187
Gotham,230,500,32,3032
Gotham,123,334,44,5305
Gotham,30,39,18,1952
Gotham,60,50,17,1167
Gotham,55,0,18,1748
Gotham,70,159,32,2639
Metrópolis,49,0,13,1296
Gotham,18,30,15,1575
Gotham,100,146,38,2684
Gotham,61,0,39,3804
Gotham,79,268,41,4277
Gotham,73,150,16,2116
Gotham,30,21,20,1591
Gotham,61,0,24,2105
Gotham,34,0,37,2927
Metrópolis,50,20,13,1646
Gotham,100,140,27,1917
Gotham,55,225,63,6238
Gotham,100,267,51,5551
Gotham,110,247,31,3823
Metrópolis,40,70,16,1606
Metrópolis,223,290,42,5032
Gotham,380,150,25,3065
Gotham,225,290,67,4757
Gotham,40,0,11,861
Gotham,74,163,44,4707
Metrópolis,70,62,16,1078
Gotham,150,384,26,3591
Gotham,150,1084,121,9205
Gotham,25,57,10,1167
Gotham,328,800,77,8259
Gotham,179,751,108,10460
Gotham,62,284,30,3504
Gotham,75,146,27,3048
Metrópolis,76,146,40,3965
Gotham,146,417,83,8600
Gotham,55,0,24,2254
Gotham,165,834,73,8007
Metrópolis,96,138,46,4534
Gotham,300,350,61,4411
Gotham,35,0,16,1681
Gotham,23,0,32,2763
Gotham,25,130,26,2446
Gotham,140,375,23,4697
Metrópolis,147,184,21,3250
Gotham,90,101,20,1621
Metrópolis,170,41,28,1869
Gotham,72,225,96,8621
Gotham,45,0,9,3005
Gotham,45,172,23,2689
Gotham,100,0,26,3226
Gotham,40,70,44,3884
Gotham,200,42,102,9644
Gotham,20,45,22,2187
Gotham,200,0,39,4665
Gotham,76,30,54,5464
Gotham,20,40,8,948
Gotham,200,834,58,4692
Gotham,54,0,26,2562
Gotham,100,284,54,5528
Gotham,90,84,27,3111
Gotham,300,650,136,9786
Gotham,70,121,17,2218
Gotham,60,21,21,1422
Gotham,100,34,59,3993
Gotham,90,0,31,3031
Gotham,220,1084,70,9821
Gotham,60,0,26,3086
Gotham,56,280,102,8382
Gotham,79,75,26,2701
Gotham,341,825,56,7881
Gotham,60,300,44,5682
Gotham,123,42,61,4103
Gotham,59,18,28,2606
Gotham,35,3,14,1117
Gotham,42,50,25,1675
Gotham,55,109,28,3323
Gotham,38,30,22,1937
Gotham,318,600,58,4498
Gotham,60,144,20,1464
Gotham,280,500,121,8621
Gotham,82,192,32,4174
Metrópolis,110,52,13,1175
Gotham,376,834,121,8955
Gotham,139,417,35,4412
Gotham,100,67,49,3316
Gotham,65,42,14,1777
Metrópolis,55,34,12,1216
Gotham,98,422,51,5714
Gotham,76,54,21,2455
Gotham,89,184,77,7161
Gotham,155,459,45,5054
Gotham,137,334,28,3862
Gotham,88,134,58,5692
Metrópolis,102,105,20,2725
Gotham,300,0,49,3299
Gotham,115,210,39,4612
Gotham,57,132,33,3073
Metrópolis,185,100,28,3528
Gotham,62,0,21,2421
Gotham,86,100,39,4239
Gotham,35,90,16,2242
Gotham,144,84,46,5230
Gotham,210,1400,83,11080
Gotham,294,512,39,3101
Gotham,232,342,68,4910
Gotham,260,430,58,4338
Gotham,100,382,68,4950
Metrópolis,280,341,47,5795
Gotham,120,700,115,10820
Gotham,90,292,48,5420
Gotham,500,534,128,9162
Metrópolis,290,192,33,4175
Gotham,200,1250,64,9614
Gotham,208,282,68,4850
Gotham,280,1042,51,9293
Gotham,230,300,115,8015
Metrópolis,47,135,35,3452
Gotham,250,792,70,9112
Gotham,220,750,50,6700
Gotham,249,834,136,9970
Metrópolis,227,290,49,3539
Gotham,33,100,13,2863
Gotham,22,0,15,991
Metrópolis,97,61,10,1289
Gotham,61,0,21,2015
Gotham,400,375,98,6973
Gotham,280,1084,128,11010
Metrópolis,60,50,25,1735
Gotham,55,0,16,1816
Metrópolis,100,82,31,2113
Gotham,64,0,15,3038
Gotham,70,50,51,4901
Gotham,250,534,73,5407
Gotham,40,350,61,7011
Gotham,73,150,16,2116
Gotham,140,142,64,6106
Gotham,37,75,14,989
Gotham,26,54,18,2706
Gotham,84,217,122,11190
Gotham,32,44,36,3430
Gotham,200,4710,85,10400
Gotham,45,15,32,3153
Metrópolis,100,0,34,2234
Gotham,130,115,28,2132
Metrópolis,75,25,18,1678
Gotham,123,250,32,3732
Metrópolis,100,105,28,3033
Gotham,500,1060,140,10500
Gotham,118,22,77,7899
Gotham,600,0,82,6483
Gotham,80,158,28,3112
Gotham,167,311,56,4067
Gotham,600,1000,103,7903
Gotham,74,1,32,2534
Gotham,380,2084,77,11360
Gotham,100,125,76,5201
Gotham,150,917,47,6464
Gotham,65,92,22,2414
Gotham,35,30,13,993
Gotham,100,201,34,2435
Gotham,156,305,54,6159
Gotham,80,167,106,7273
Gotham,50,0,23,2213
Gotham,40,18,21,2301
Gotham,142,691,65,7256
Gotham,110,542,27,4300
Gotham,70,138,13,1431
Gotham,76,0,58,5458
Gotham,59,417,18,2105
Gotham,100,132,26,2928
Metrópolis,88,104,25,2979
Gotham,37,252,33,3489
Gotham,54,0,33,2910
Gotham,65,0,18,5268
Gotham,100,38,16,2475
Gotham,42,17,47,4528
Gotham,60,142,71,7363
Gotham,164,434,79,8318
Gotham,220,700,82,10280
Gotham,83,255,77,10330
Gotham,41,0,15,1445
Gotham,213,750,58,7193
Gotham,43,8,26,2494
Gotham,123,336,37,5132
Gotham,180,0,37,2887
Gotham,33,21,17,1688
Gotham,75,0,37,2487
Gotham,64,58,47,4455
Gotham,44,130,26,2727
Gotham,22,55,28,2755
Gotham,56,37,17,1744
Gotham,39,60,27,2551
Gotham,35,0,8,1317
Gotham,80,59,46,3105
Gotham,192,630,83,9003
Gotham,33,0,18,1568
Gotham,47,0,20,1820
Metrópolis,83,405,69,5024
Metrópolis,400,1009,121,10330
Gotham,40,84,13,1287
Gotham,100,0,22,2481
Gotham,363,1112,39,8263
Gotham,235,825,91,6916
Gotham,147,258,36,4244
Gotham,298,2649,41,8690
Gotham,145,0,70,6970
Metrópolis,73,204,26,2992
Gotham,49,89,52,4684
Gotham,103,320,77,7927
Gotham,180,0,37,2437
Gotham,120,0,26,2651
Gotham,66,200,36,3836
Gotham,45,0,25,2452
Gotham,53,95,24,2570
Gotham,50,18,14,932
Gotham,67,72,33,3625
Gotham,42,27,15,1592
Gotham,90,83,40,3815
Gotham,255,500,77,9177
Gotham,82,0,44,4304
Metrópolis,139,232,85,8107
Gotham,110,417,102,10020
Metrópolis,75,75,16,1751
Gotham,84,50,30,3188
Gotham,160,250,58,4108
Metrópolis,176,442,66,7058
Gotham,170,503,58,6561
Gotham,24,80,20,1850
Gotham,70,255,26,1981
Gotham,107,0,33,3033
